termo,categoria_semente,tipo_sinal
organizador de maquiagem,organizador de mesa,rising (64500%)
organizador de mesa aramado,organizador de mesa,rising (110%)
suporte para celular gravar video,suporte para celular,rising (130%)
suporte de celular para cabeça,suporte para celular,rising (120%)
suporte para celular moto com carregador,suporte para celular,rising (60%)
suporte para celular articulado,suporte para celular,rising (50%)
ganchos de parede,gancho de parede,rising (90%)
vaso de flor decorativo,vaso decorativo,rising (90%)
brinquedo educativo 6 meses,brinquedo educativo,rising (50800%)
chaveiro personalizado para brinde,chaveiro personalizado,rising (110%)
como fazer chaveiro personalizado,chaveiro personalizado,rising (70%)
chaveiro metal,chaveiro personalizado,rising (50%)
chaveiro personalizado metal,chaveiro personalizado,rising (40%)
cabideiro basculante,cabideiro,rising (75300%)
cabideiro extensivo,cabideiro,rising (51450%)
cabideiro para bolsas,cabideiro,rising (90%)
cabideiro com prateleira,cabideiro,rising (50%)
